"Case Number","Severity","Opened Date","Case Owner"
"208113","Sev-1: Mission Critical","3/20/2017","Eric Thomas"
"208126","Sev-2: High","3/20/2017","Eric Thomas"
"208170","Sev-2: High","3/21/2017","Eric Thomas"
"208185","Sev-2: High","3/21/2017","Eric Thomas"
"208204","Sev-2: High","3/21/2017","Eric Thomas"
"208214","Sev-2: High","3/22/2017","Eric Thomas"
"208247","Sev-2: High","3/22/2017","Eric Thomas"
"208277","Sev-2: High","3/22/2017","Eric Thomas"
"208282","Sev-2: High","3/22/2017","Eric Thomas"
"208283","Sev-2: High","3/22/2017","Eric Thomas"
"208293","Sev-2: High","3/22/2017","Eric Thomas"
"208307","Sev-2: High","3/22/2017","Eric Thomas"
"208313","Sev-2: High","3/22/2017","Eric Thomas"
"208353","Sev-2: High","3/23/2017","Eric Thomas"
"208362","Sev-2: High","3/23/2017","Eric Thomas"
"208367","Sev-2: High","3/23/2017","Eric Thomas"
"208374","Sev-2: High","3/23/2017","Eric Thomas"
"208404","Sev-2: High","3/23/2017","Eric Thomas"
"208406","Sev-2: High","3/23/2017","Eric Thomas"
"208417","Sev-2: High","3/24/2017","Eric Thomas"
"208421","Sev-2: High","3/24/2017","Eric Thomas"
"208434","Sev-2: High","3/24/2017","Eric Thomas"
"208638","Sev-2: High","3/28/2017","Eric Thomas"
"208694","Sev-2: High","3/29/2017","Eric Thomas"
"208703","Sev-2: High","3/29/2017","Eric Thomas"
"208741","Sev-2: High","3/29/2017","Eric Thomas"
"208906","Sev-2: High","3/31/2017","Eric Thomas"
"208917","Sev-2: High","3/31/2017","Eric Thomas"
"207127","Sev-2: High","3/3/2017","Miriam Rios"
"207136","Sev-2: High","3/3/2017","Miriam Rios"
"207165","Sev-1: Mission Critical","3/3/2017","Miriam Rios"
"207489","Sev-2: High","3/9/2017","Miriam Rios"
"207518","Sev-2: High","3/9/2017","Miriam Rios"
"207520","Sev-2: High","3/9/2017","Miriam Rios"
"207524","Sev-2: High","3/9/2017","Miriam Rios"
"207564","Sev-2: High","3/11/2017","Miriam Rios"
"207591","Sev-2: High","3/12/2017","Miriam Rios"
"207659","Sev-2: High","3/13/2017","Miriam Rios"
"207763","Sev-2: High","3/15/2017","Miriam Rios"
"207830","Sev-2: High","3/15/2017","Miriam Rios"
"207878","Sev-2: High","3/16/2017","Miriam Rios"
"207892","Sev-2: High","3/16/2017","Miriam Rios"
"208048","Sev-2: High","3/20/2017","Miriam Rios"
